original_english,target_spanish,translation1,translation2,rouge1_f1_1,rouge1_f1_2,rouge2_f1_1,rouge2_f1_2,rougeL_f1_1,rougeL_f1_2,len_trans1,len_trans2,len_target,len_diff_abs,len_diff_pct1,len_diff_pct2,overlap_with_target1,overlap_with_target2,overlap_between_translations,divergence_score
Thyroid disease,Enfermedad tiroidea, Enfermedad de la tiroides,"La enfermedad tiroidea puede manifestarse de diferentes maneras, incluyendo hipotiroidismo y hipertiroidismo. En algunos casos, se requiere una tireoidectomía para eliminar la glándula tiroidea afectada. El tratamiento con yodo radioactivo también es común en el manejo de esta condición.",0.3333333333333333,0.08695652173913045,0.0,0.04545454545454545,0.3333333333333333,0.08695652173913045,4,39,2,35,100.0,1850.0,0.5,0.5,1.0,5.666666666666667
Oysters,Ostras, Mejillones,"La intoxicación por moluscos causada por los mejillones puede provocar gastroenteritis y, en casos graves, la infección por Vibrio vulnificus puede ser mortal.",0.0,0.0,0.0,0.0,0.0,0.0,1,23,1,22,0.0,2200.0,0.0,0.0,0.0,5.2
Brussels sproutsCabbage,Alimentos fortificados como la leche de soya (soja)., Coliflor,Brócoli de Bruselas (Coles de Bruselas),0.0,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,1,6,8,5,87.5,25.0,0.0,0.125,0.0,3.5
Oxygen,Oxígeno,Oxígeno,"Terapia con Oxígeno es crucial para pacientes que sufren de Hipoxemia, especialmente aquellos en Falla Respiratoria. El uso de Oxígeno Suplementario puede ser necesario para mantener niveles adecuados de oxígeno en la sangre.",1.0,0.10526315789473684,1.0,0.05555555555555556,1.0,0.10526315789473684,1,33,1,32,0.0,3200.0,1.0,1.0,1.0,3.2
Congenital heart surgery; Patent ductus arteriosus ligation; Hypoplastic left heart repair; Tetralogy of Fallot repair; Coarctation of the aorta repair; Atrial septal defect repair; Ventricular septal defect repair; Truncus arteriosus repair; Total anomalous pulmonary artery correction; Transposition of great vessels repair; Tricuspid atresia repair; VSD repair; ASD repair; PDA ligation,Cirugía cardíaca congénita; Ligadura del conducto arterial persistente; Reparación de la hipoplasia del corazón izquierdo; Reparación de la tetralogía de Fallot; Reparación de la coartación de la aorta; Reparación de la comunicación interauricular; Reparación de la comunicación interventricular; Reparación del tronco arterial; Corrección de la arteria pulmonar anómala total; Reparación de la transposición de los grandes vasos; Reparación de la atresia tricuspídea; Reparación de CIV; Reparación de CIA; Ligadura del CAP,"La siguiente lista cubre las cardiopatías congénitas más comunes:\n\nCirugía del corazón congénito;\nLigadura de ductus arterioso patentado;\nReparación de hipoplasia del lado izquierdo del corazón;\nReparación de Tetralogía de Fallot;\nReparación de coartación de la aorta;\nReparación de defecto septal auricular;\nReparación de defecto septal ventricular;\nReparación de truncus arteriosus;\nCorrección anómala total del pulmón;\nReparación de transposición de grandes vasos;\nReparación de atresia tricúspide;\nReparación de VSD;\nReparación de ASD;\nLigadura de PDA"" 
}",La cirugía cardíaca congénita; Ligation del ducto arterioso persistente; Reparación de la hipoplasia del corazón izquierdo; Reparación de la cuarteta de Fallot; Reparación de la coartación de la aorta; Reparación del defecto septal auricular; Reparación del defecto septal ventricular; Reparación del tronco arterioso; Corrección anómala total de la arteria pulmonar; Reparación de la transposición de los grandes vasos; Reparación de la atresia tricúspide; Reparación del VSD; Reparación del ASD; Ligation del PDA,0.5492227979274611,0.7608695652173912,0.27225130890052357,0.6153846153846154,0.46632124352331605,0.7173913043478262,62,72,71,10,12.676056338028168,1.4084507042253522,0.2702702702702703,0.5945945945945946,0.40540540540540543,2.908255622901745
Ask your health care provider.,Pregúntele al médico., Pregunte a su proveedor de atención médica.,Pregunte a su proveedor de atención médica.,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,7,7,3,0,133.33333333333331,133.33333333333331,0.0,0.0,2.3333333333333335,2.857142857142857
"Always let your doctor know about any cold, flu, fever, herpes breakout, or other illnesses you may have. ","Siempre hágale saber al médico si tiene un resfriado, gripe, fiebre, brote de herpes o cualquier otra enfermedad que usted pueda tener.", No espere que un médico le recete antibióticos para infecciones virales como resfriados o gripe.,"Siempre comuníquese con su médico sobre cualquier resfriado, gripe, fiebre, brote de herpes o otras enfermedades que pueda tener.",0.34146341463414637,0.7111111111111111,0.05128205128205128,0.46511627906976744,0.19512195121951217,0.6666666666666666,15,19,22,4,31.818181818181817,13.636363636363635,0.18181818181818182,0.5909090909090909,0.13636363636363635,2.82543635226562
"Regular use -- the user misses more and more school or work; worries about losing drug source; uses drugs to ""fix"" negative feelings; begins to stay away from friends and family; may change friends to those who are regular users; shows increased tolerance and ability to ""handle"" the drug.","Consumo regular: el consumidor falta cada vez más al colegio o al trabajo; le preocupa perder la fuente de droga; utiliza las drogas para ""remediar"" sentimientos negativos; empieza a apartarse de los amigos y la familia; puede cambiar los amigos por aquéllos que son consumidores regulares; muestra aumento de la tolerancia y capacidad para ""manejar"" la droga.", Uso habitual -- el usuario se pierde más y más la escuela o el trabajo; preocupa por perder la fuente de drogas; utiliza las drogas para 'arreglar' los sentimientos negativos; comienza a mantenerse alejado de amigos y familiares; puede cambiar de amigos a aquellos que son usuarios regulares; muestra una tolerancia aumentada y capacidad para 'manejar' el medicamento.,"Uso regular -- el usuario se ausenta cada vez más de la escuela o el trabajo; preocupa sobre perder la fuente de drogas; utiliza las drogas para 'arreglar' sentimientos negativos; comienza a alejarse de amigos y familiares; puede cambiar amigos por aquellos que son usuarios regulares; muestra tolerancia aumentada y capacidad para 'manejar' el medicamento. Sin embargo, este comportamiento también puede indicar dependencia, adicción o trastorno por uso de sustancias.",0.6271186440677966,0.5954198473282444,0.29310344827586204,0.34108527131782945,0.559322033898305,0.5648854961832059,58,70,57,12,1.7543859649122806,22.807017543859647,0.5957446808510638,0.6170212765957447,0.8723404255319149,2.6840332268052776
Some patients develop heart failure and high blood pressure in the blood vessels of their lungs.Your chances of recovering or of the disease getting worse depend on the cause and how severe the disease was when it was first diagnosed.,"El estrés causado por la enfermedad se puede aliviar a menudo al participar en un grupo de apoyo, en el que los integrantes comparten experiencias y problemas en común.",Algunos pacientes desarrollan insuficiencia cardíaca y presión arterial alta en los vasos sanguíneos de sus pulmones. Sus posibilidades de recuperarse o que la enfermedad empeore dependen de la causa y de cuán grave era la enfermedad cuando se diagnosticó por primera vez.,Algunos pacientes desarrollan insuficiencia cardíaca y hipertensión arterial en las arterias de sus pulmones. Las posibilidades de recuperación o empeoramiento de la enfermedad dependen de la causa y de cuán grave era la enfermedad cuando se diagnosticó por primera vez.,0.2597402597402597,0.21333333333333335,0.026666666666666672,0.0273972602739726,0.12987012987012986,0.13333333333333333,42,40,29,2,44.827586206896555,37.93103448275862,0.3333333333333333,0.25925925925925924,0.9629629629629629,2.5802597402597405
Are illegal drugs being used?,¿Ha consumido drogas psicoactivas?, ¿Se están utilizando drogas ilegales?,¿Se están utilizando drogas ilegales?,0.2,0.2,0.0,0.0,0.2,0.2,5,5,4,0,25.0,25.0,0.25,0.25,1.25,2.55
